,loss,accuracy
0,1.1040613651275635,0.72235506772995
1,0.26204439997673035,0.9288150072097778
2,0.1624218225479126,0.953745424747467
3,0.1163233295083046,0.9658970832824707
4,0.08862697333097458,0.972639262676239
5,0.07527421414852142,0.9767159223556519
6,0.06503844261169434,0.9792246222496033
7,0.05369831994175911,0.9836149215698242
8,0.047740478068590164,0.9854572415351868
9,0.04246105998754501,0.9874172210693359
10,0.04156729206442833,0.9869468212127686
11,0.04739786684513092,0.9863980412483215
