class_number,class_identifier
0,Знак 1.1. Железнодорожный переезд со шлагбаумом
1,Знак 1.11.1. Опасный поворот (правый)
2,Знак 1.11.2. Опасный поворот (левый)
3,Знак 1.12.1. Опасные повороты (с первым поворотом направо)
4,Знак 1.12.2. Опасные повороты (с первым поворотом налево)
5,Знак 1.13. Крутой спуск
6,Знак 1.14. Крутой подъем
7,Знак 1.15. Скользкая дорога
8,Знак 1.16. Неровная дорога
9,Знак 1.17. Искусственная неровность
10,Знак 1.18. Выброс гравия
11,Знак 1.19. Опасная обочина
12,Знак 1.2. Железнодорожный переезд без шлагбаума
13,Знак 1.20.1. Сужение дороги
14,Знак 1.20.2. Сужение дороги
15,Знак 1.20.3. Сужение дороги
16,Знак 1.21. Двустороннее движение
17,Знак 1.22. Пешеходный переход
18,Знак 1.23. Дети
19,Знак 1.25. Дорожные работы
20,Знак 1.27. Дикие животные
21,Знак 1.33. Прочие опасности
22,Знак 1.5. Пересечение с трамвайной линией
23,Знак 1.8. Светофорное регулирование
24,Знак 2.3.1. Пересечение со второстепенной дорогой
25,Знак 2.3.2. Примыкание второстепенной дороги
26,Знак 2.3.3. Примыкание второстепенной дороги
27,Знак 2.5. Движение без остановки запрещено
28,Знак 2.6. Преимущество встречного движения
29,Знак 3.1. Въезд запрещен
30,Знак 3.10. Движение пешеходов запрещено
31,Знак 3.11. Ограничение массы 5т
32,Знак 3.13. Ограничение высоты 3.5м
33,Знак 3.13. Ограничение высоты 4.5м
34,Знак 3.18.1. Поворот направо запрещен
35,Знак 3.18.2. Поворот налево запрещен
36,Знак 3.19. Разворот запрещен
37,Знак 3.2. Движение запрещено
38,Знак 3.20. Обгон запрещен
39,Знак 3.24. Ограничение максимальной скорости 10 км/ч
40,Знак 3.24. Ограничение максимальной скорости 20 км/ч
41,Знак 3.24. Ограничение максимальной скорости 30 км/ч
42,Знак 3.24. Ограничение максимальной скорости 40 км/ч
43,Знак 3.24. Ограничение максимальной скорости 5 км/ч
44,Знак 3.24. Ограничение максимальной скорости 50 км/ч
45,Знак 3.24. Ограничение максимальной скорости 60 км/ч
46,Знак 3.24. Ограничение максимальной скорости 70 км/ч
47,Знак 3.24. Ограничение максимальной скорости 80 км/ч
48,Знак 3.27. Остановка запрещена
49,Знак 3.28. Стоянка запрещена
50,Знак 3.29. Стоянка запрещена по нечетным числам месяца
51,Знак 3.30. Стоянка запрещена по четным числам месяца
52,Знак 3.32. Движение транспортных средств с опасными грузами запрещено
53,Знак 3.4. Движение грузовых автомобилей запрещено
54,Знак 3.4. Движение грузовых автомобилей запрещено (8т)
55,Знак 4.1.1. Движение прямо
56,Знак 4.1.2. Движение направо
57,Знак 5.7.1. Выезд на дорогу с односторонним движением
58,Знак 5.7.2. Выезд на дорогу с односторонним движением
59,Знак 4.1.3. Движение налево
60,Знак 4.1.4. Движение прямо или направо
61,Знак 4.1.5. Движение прямо или налево
62,Знак 4.1.6. Движение направо или налево
63,Знак 4.2.1. Объезд препятствия справа
64,Знак 4.2.2. Объезд препятствия слева
65,Знак 4.2.3. Объезд препятствия справа или слева
66,Знак 4.3. Круговое движение
